"","knr","aar","knavn","pm2","Menn_ya_p","Kvinner_ya_p","Total_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f","Trade_p"
"552","0516","2009","Nord-Fron",9114,58.1252138214164,56.8995481404241,57.5172413793103,23.6,13.6,14,10.1,17.8,2.3,3,1.7,77274
"553","0516","2010","Nord-Fron",10572,57.381520627344,56.1562608998954,56.7758620689655,23.4,13.5,14.2,10.2,18.1,2.4,2.9,1.9,74574
"554","0516","2011","Nord-Fron",9780,57.9445571331981,56.0848400556328,57.0277682550566,23.5,12.5,14.7,10.6,18.8,2.6,3.1,2,74756
"555","0516","2012","Nord-Fron",11362,57.6962283384302,55.3862140630412,56.5523156089194,23.6,13.4,15.3,10.9,19.8,2.6,3.1,2.2,74414
"556","0516","2013","Nord-Fron",10223,57.1379781420765,55.5363918592618,56.3411704135919,23.8,14.6,15.9,11,20.7,2.7,3.1,2.4,77227
"557","0516","2014","Nord-Fron",11060,56.0386473429952,55.4237879316359,55.7328707718994,23.7,14.8,16.1,11.4,20.9,3,3.3,2.6,82730
"558","0516","2015","Nord-Fron",11182,55.968352253182,54.7593958552863,55.3701772679875,24.1,14.5,16.3,10.9,21.8,3.1,3.6,2.7,78669
"559","0516","2016","Nord-Fron",11573,56.1009332872451,54.4241573033708,55.2691168785926,24.1,14.4,16.7,11.5,22.1,3.1,3.3,2.9,81642
"560","0516","2017","Nord-Fron",12335,55.824403733149,53.7455830388693,54.7964354359602,25.3,14,17.4,12.1,22.7,3.1,3.3,2.9,91746
"561","0517","2008","Sel",8490,57.4172185430464,55.2763819095477,56.353039134055,22.5,11.1,12.5,9.1,15.9,1.9,2.5,1.3,87315
"562","0517","2009","Sel",9031,57.227919285478,55.2473262032086,56.2427265170407,23.8,10,12.8,9.1,16.4,2.2,2.6,1.7,87416
"563","0517","2010","Sel",9579,56.773766147731,55.4026845637584,56.0926821136856,24,10.7,13.1,9.5,16.8,2.3,2.9,1.8,86822
"564","0517","2011","Sel",10109,57.0394736842105,54.9257759784076,55.9960026648901,23.5,10.5,13.8,10.1,17.6,2.3,2.8,1.9,86014
